Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;185;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CAMPO COMPRIDO;16;PUBLICO
2018;186;ROUBO;FAZENDINHA;9;PUBLICO
2018;187;FURTO QUALIFICADO;GANCHINHO;15;RESIDENCIA
2018;188;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PAROLIN;18;PUBLICO
2018;189;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PRADO VELHO;19;PUBLICO
2018;190;ROUBO;CIDADE INDUSTRIAL;21;PUBLICO
2018;191;LESAO CORPORAL;CIDADE INDUSTRIAL;21;PUBLICO
2018;192;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CENTRO;23;PUBLICO
2018;193;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PRADO VELHO;1;PUBLICO
2018;194;FURTO QUALIFICADO;CIDADE INDUSTRIAL;20;RESIDENCIA
2018;195;LESAO CORPORAL;SAO BRAZ;1;RESIDENCIA
2018;196;FURTO QUALIFICADO;CIDADE INDUSTRIAL;21;RESIDENCIA
2018;197;FURTO SIMPLES;CAMPO DE SANTANA;9;COMERCIO
2018;198;FURTO QUALIFICADO;FAZENDINHA;19;PUBLICO
2018;199;ROUBO;JARDIM BOTANICO;15;PUBLICO
2018;200;FURTO QUALIFICADO;SITIO CERCADO;17;OUTROS
2018;201;FURTO QUALIFICADO;CIDADE INDUSTRIAL;20;COMERCIO
2018;202;LESAO CORPORAL;CIDADE INDUSTRIAL;20;RESIDENCIA
2018;203;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CIDADE INDUSTRIAL;22;PUBLICO
2018;204;FURTO SIMPLES;JARDIM BOTANICO;23;TRANSPORTE
2018;205;FURTO QUALIFICADO;CRISTO REI;16;ALIMENTACAO / DIVERSAO
2018;206;FURTO QUALIFICADO;REBOUCAS;5;ENSINO
