id;crime;bairro;hora;local
963;ROUBO;CENTRO CIVICO;17;PRESTACAO DE SERVICOS
966;ROUBO;CAPAO RASO;16;COMERCIO
967;FURTO SIMPLES;XAXIM;12;RESIDENCIA
968;ROUBO;BATEL;1;PUBLICO
969;FURTO QUALIFICADO;HAUER;12;PUBLICO
970;ROUBO;CIDADE INDUSTRIAL;6;PUBLICO
971;ROUBO;BOQUEIRAO;16;RESIDENCIA
973;ROUBO;CENTRO;18;SAUDE
974;ROUBO;SITIO CERCADO;20;DERIVADO PETROLEO
977;ROUBO;ALTO BOQUEIRAO;22;PUBLICO
981;ROUBO;SITIO CERCADO;13;PUBLICO
982;ROUBO;CENTRO;23;PUBLICO
983;ROUBO;FAZENDINHA;8;PUBLICO
984;ROUBO;FAZENDINHA;8;RESIDENCIA
986;FURTO QUALIFICADO;BOQUEIRAO;4;RESIDENCIA
994;ROUBO;UMBARA;10;RESIDENCIA
995;FURTO SIMPLES;CIDADE INDUSTRIAL;12;COMERCIO
996;FURTO SIMPLES;CIDADE INDUSTRIAL;12;PRESTACAO DE SERVICOS
1015;FURTO SIMPLES;BAIRRO ALTO;17;PUBLICO
1016;ROUBO;GUAIRA;6;TRANSPORTE
1017;ROUBO;JARDIM BOTANICO;18;PUBLICO
1019;ROUBO;TATUQUARA;17;PUBLICO
1020;ROUBO;TATUQUARA;17;SAUDE
1023;ROUBO;GUABIROTUBA;16;PUBLICO
1033;ROUBO;PRADO VELHO;18;PUBLICO
1061;ROUBO;CAJURU;10;PUBLICO
1062;ROUBO;CRISTO REI;21;PUBLICO
1063;ROUBO;CAJURU;15;PUBLICO
1064;ROUBO;BAIRRO ALTO;16;PUBLICO
1065;FURTO QUALIFICADO;ALTO DA RUA XV;11;RESIDENCIA
1066;FURTO QUALIFICADO;PINHEIRINHO;4;COMERCIO
1068;ROUBO;REBOUCAS;7;PUBLICO
1069;ROUBO;BAIRRO ALTO;22;PUBLICO
1071;ROUBO;JARDIM DAS AMERICAS;9;PUBLICO
1073;FURTO QUALIFICADO;PORTAO;20;PUBLICO
1074;ROUBO;CENTRO;22;PUBLICO
1076;FURTO QUALIFICADO;PORTAO;8;ALIMENTACAO / DIVERSAO
1077;FURTO QUALIFICADO;BOQUEIRAO;8;ALIMENTACAO / DIVERSAO
1078;ROUBO;SANTA CANDIDA;10;SAUDE
1079;FURTO QUALIFICADO;PORTAO;22;MERCADO
1080;FURTO QUALIFICADO;PORTAO;21;PUBLICO
1081;FURTO QUALIFICADO;ALTO BOQUEIRAO;15;PUBLICO
1084;ROUBO;VISTA ALEGRE;19;PUBLICO
1086;FURTO QUALIFICADO;BOM RETIRO;12;RESIDENCIA
1089;ROUBO;UMBARA;19;PUBLICO
1091;ROUBO;XAXIM;14;PUBLICO
1092;ROUBO;SITIO CERCADO;12;OUTROS
1095;FURTO QUALIFICADO;BOQUEIRAO;7;RESIDENCIA
1097;ROUBO;SITIO CERCADO;14;OUTROS
1098;FURTO QUALIFICADO;ALTO DA GLORIA;22;PUBLICO
1099;FURTO QUALIFICADO;ALTO DA GLORIA;22;SAUDE
1102;ROUBO;SITIO CERCADO;12;ALIMENTACAO / DIVERSAO
1104;FURTO SIMPLES;SITIO CERCADO;4;PUBLICO
1106;FURTO SIMPLES;SAO FRANCISCO;0;DERIVADO PETROLEO
1107;FURTO SIMPLES;SAO FRANCISCO;0;PUBLICO
1109;ROUBO;SITIO CERCADO;16;PUBLICO
1110;ROUBO;UBERABA;8;COMERCIO
1111;ROUBO;BOQUEIRAO;23;PUBLICO
1114;ROUBO;ALTO BOQUEIRAO;17;COMERCIO
1117;FURTO QUALIFICADO;SAO LOURENCO;3;RESIDENCIA
1122;FURTO QUALIFICADO;BAIRRO ALTO;8;OUTROS
1123;FURTO QUALIFICADO;BAIRRO ALTO;8;PRESTACAO DE SERVICOS
1129;ROUBO;BOQUEIRAO;6;COMERCIO
1132;ROUBO;ATUBA;21;PUBLICO
1140;ROUBO;CAMPO COMPRIDO;22;ALIMENTACAO / DIVERSAO
1141;FURTO QUALIFICADO;MERCES;22;PUBLICO
1144;FURTO SIMPLES;CAJURU;11;RESIDENCIA
1146;FURTO SIMPLES;SANTA FELICIDADE;11;MERCADO
1148;FURTO QUALIFICADO;JARDIM SOCIAL;17;RESIDENCIA
1150;FURTO QUALIFICADO;VISTA ALEGRE;9;RESIDENCIA
1153;ROUBO;CIDADE INDUSTRIAL;15;COMERCIO
1161;ROUBO;CIDADE INDUSTRIAL;14;RESIDENCIA
1167;FURTO SIMPLES;CIDADE INDUSTRIAL;15;MERCADO
1173;FURTO QUALIFICADO;PORTAO;18;COMERCIO
1183;FURTO QUALIFICADO;MOSSUNGUE;18;MERCADO
1199;FURTO QUALIFICADO;UBERABA;12;RESIDENCIA
1202;FURTO QUALIFICADO;CAJURU;16;RESIDENCIA
1205;FURTO SIMPLES;JUVEVE;0;COMERCIO
1218;FURTO QUALIFICADO;BATEL;3;COMERCIO
1224;ROUBO;CAMPO COMPRIDO;2;PUBLICO
1227;ROUBO;CAJURU;21;PUBLICO
1228;ROUBO;CAJURU;21;TRANSPORTE
1237;FURTO SIMPLES;CIDADE INDUSTRIAL;1;RESIDENCIA
1239;ROUBO;BIGORRILHO;7;PUBLICO
1246;ROUBO;CIDADE INDUSTRIAL;7;COMERCIO
1247;FURTO SIMPLES;CIDADE INDUSTRIAL;17;PUBLICO
1248;FURTO QUALIFICADO;BATEL;3;COMERCIO
1255;ROUBO;FAZENDINHA;8;PUBLICO
1265;ROUBO;FAZENDINHA;12;SAUDE
1279;FURTO QUALIFICADO;FAZENDINHA;17;RESIDENCIA
1283;ROUBO;SANTA QUITERIA;19;PUBLICO
1286;ROUBO;PINHEIRINHO;21;TRANSPORTE
1291;ROUBO;JARDIM BOTANICO;23;TRANSPORTE
1324;FURTO QUALIFICADO;BOQUEIRAO;6;COMERCIO
1325;FURTO QUALIFICADO;BOQUEIRAO;6;PUBLICO
1328;ROUBO;REBOUCAS;7;PUBLICO
1332;ROUBO;CENTRO;11;PUBLICO
1347;ROUBO;CIDADE INDUSTRIAL;17;PUBLICO
1355;ROUBO;PINHEIRINHO;5;PUBLICO
1385;ROUBO;SITIO CERCADO;1;PUBLICO
1386;ROUBO;SITIO CERCADO;1;TRANSPORTE
1389;FURTO QUALIFICADO;JARDIM BOTANICO;0;COMERCIO
1390;FURTO SIMPLES;BACACHERI;5;RESIDENCIA
1392;ROUBO;ORLEANS;11;PUBLICO
1393;ROUBO;BAIRRO ALTO;21;PUBLICO
1395;FURTO QUALIFICADO;CAJURU;10;RESIDENCIA
1402;FURTO QUALIFICADO;XAXIM;11;COMERCIO
1404;FURTO QUALIFICADO;SANTA CANDIDA;21;RESIDENCIA
1405;ROUBO;ALTO DA RUA XV;15;PUBLICO
1406;ROUBO;NOVO MUNDO;11;ATIVIDADE FINANCEIRA
1408;ROUBO;REBOUCAS;18;SAUDE
1409;ROUBO;SAO BRAZ;9;COMERCIO
1415;ROUBO;MERCES;23;PUBLICO
1416;FURTO SIMPLES;BOQUEIRAO;16;SAUDE
1420;ROUBO;NOVO MUNDO;1;RESIDENCIA
1422;ROUBO;PAROLIN;20;PUBLICO
1425;FURTO QUALIFICADO;SAO FRANCISCO;9;COMERCIO
1427;ROUBO;PORTAO;22;PUBLICO
1429;ROUBO;BIGORRILHO;22;SAUDE
1430;ROUBO;PORTAO;18;PUBLICO
1431;ROUBO;CAJURU;12;COMERCIO
1432;ROUBO;CENTRO CIVICO;21;COMERCIO
1434;ROUBO;ALTO DA RUA XV;20;PUBLICO
1435;ROUBO;AGUA VERDE;8;SAUDE
1436;ROUBO;UBERABA;22;PUBLICO
1437;ROUBO;SAO FRANCISCO;22;PUBLICO
1442;FURTO SIMPLES;REBOUCAS;9;PUBLICO
1443;ROUBO;PORTAO;2;RESIDENCIA
1445;ROUBO;ALTO DA RUA XV;20;PUBLICO
1446;ROUBO;BACACHERI;18;COMERCIO
1447;ROUBO;BACACHERI;18;PUBLICO
